product_id,title,authors,original_price,current_price,quantity,category,n_review,avg_rating,pages,manufacturer,discount
74021317,Cây Cam Ngọt Của Tôi,José Mauro de Vasconcelos,108000,64800,53075,Tiểu Thuyết,11481,5,244,Nhà Xuất Bản Hội Nhà Văn,0.4
184466860,Hành Tinh Của Một Kẻ Nghĩ Nhiều,Nguyễn Đoàn Minh Thư,86000,59900,7929,Others,780,4.8,184,Nhà Xuất Bản Thế Giới,0.3
73787185,Những Tù Nhân Của Địa Lý,Tim Marshall,210000,126000,17896,Lĩnh vực khác,3623,4.8,430,Nhà Xuất Bản Hội Nhà Văn,0.4
52789367,Nhà Giả Kim (Tái Bản 2020),Paulo Coelho,79000,47400,24668,Tác phẩm kinh điển,5131,5,228,Nhà Xuất Bản Hà Nội,0.4
147920903,Một Thoáng Ta Rực Rỡ Ở Nhân Gian,Unknown,135000,81000,10000,Tiểu Thuyết,1636,4.8,304,Nhà Xuất Bản Hội Nhà Văn,0.4
3304875,Điều Kỳ Diệu Của Tiệm Tạp Hóa NAMIYA (Tái Bản),Higashino Keigo,105000,63000,25272,Truyện ngắn - Tản văn - Tạp Văn,3791,4.8,358,Unknown,0.4
167940010,Thao Túng Tâm Lý,Shannon Thomas,169000,103000,8152,Others,785,4.8,328,Nhà Xuất Bản Dân Trí,0.39
117238177,Thư Viện Nửa Đêm,Matt Haig,150000,90000,7166,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,1544,4.8,424,Nhà Xuất Bản Hội Nhà Văn,0.4
189643105,Không Phải Sói Nhưng Cũng Đừng Là Cừu -Tặng kèm bookmark 2 mặt,Lê Bảo Ngọc,128000,96000,4630,Others,604,4.8,296,Nhà Xuất Bản Thế Giới,0.25
199216988,Càng Bình Tĩnh Càng Hạnh Phúc,Vãn Tình,139000,85180,3980,Others,327,4.8,352,Nhà Xuất Bản Thế Giới,0.39
3954355,Yêu Những Điều Không Hoàn Hảo,Hae Min,139000,83400,33316,Truyện ngắn - Tản văn - Tạp Văn,3431,4.8,300,Unknown,0.4
42230121,Hiểu Về Trái Tim (Tái Bản),Minh Niệm,138000,95200,25230,Others,2990,4.8,480,Unknown,0.31
206840682,Quyền Lực Của Địa Lý - The Power Of Geography,Tim Marshall,280000,221000,164,Sách kinh tế học,14,4.6,559,Nhà Xuất Bản Phụ Nữ,0.21
52788072,Chiến Binh Cầu Vồng (Tái Bản 2020),Andrea Hirata,109000,65400,17175,Tiểu Thuyết,3033,4.8,428,Nhà Xuất Bản Hội Nhà Văn,0.4
109017985,"Thiên Tài Bên Trái, Kẻ Điên Bên Phải (Tái Bản)",Cao Minh,179000,115001,20322,Truyện ngắn - Tản văn - Tạp Văn,4863,4.8,424,Nhà Xuất Bản Thế Giới,0.36
72459686,How Psychology Works - Hiểu Hết Về Tâm Lý Học,Jo Hemmings,300000,180000,13802,Others,3180,4.8,247,Nhà Xuất Bản Thế Giới,0.4
117254517,Đại Dương Đen - Những Câu Chuyện Từ Thế Giới Của Trầm Cảm,Đặng Hoàng Giang,240000,144000,9627,Truyện ngắn - Tản văn - Tạp Văn,2013,5,322,Nhà Xuất Bản Hội Nhà Văn,0.4
7779328,Cú Săn Đêm,Samuel Bjork,134000,113900,7,Tiểu Thuyết,0,0,400,Unknown,0.15
188940817,Vị Thần Của Những Quyết Định,Universe,79000,55100,4654,Sách Chiêm Tinh - Horoscope,648,4.8,320,Nhà Xuất Bản Thế Giới,0.3
15267827,Hoàng Tử Bé (Tái Bản 2019),Antoine De Saint-Exupéry,75000,45000,20669,Truyện kể cho bé,3011,4.8,102,Unknown,0.4
69219919,Muôn Kiếp Nhân Sinh (Khổ Nhỏ),Nguyên Phong,98000,72000,12009,Others,2603,4.8,482,Nhà Xuất Bản Tổng hợp TP.HCM,0.27
3639597,Bước Chậm Lại Giữa Thế Gian Vội Vã (Tái Bản),Hae Min,85000,51000,44869,Truyện ngắn - Tản văn - Tạp Văn,3702,4.8,256,Unknown,0.4
